count,from,to,timeframe,start,end
276,sv_volunteers,hrhjohorii,112,2021-06-13 05:07:29,2021-06-20 11:53:31
277,mynaeve,jokowi,113,2021-06-13 05:32:25,2021-06-20 11:53:31
278,dedysuwadha,wartakepri,114,2021-06-13 05:34:32,2021-06-20 11:53:31
279,rbonafida,jokowi,115,2021-06-13 05:44:04,2021-06-20 11:53:31
280,hms_poldabanten,infolebakbanten,116,2021-06-13 06:00:05,2021-06-20 11:53:31
281,hms_poldabanten,infoserang,116,2021-06-13 06:00:05,2021-06-20 11:53:31
282,hms_poldabanten,humasresserang,116,2021-06-13 06:00:05,2021-06-20 11:53:31
283,hms_poldabanten,infopandeglang2,116,2021-06-13 06:00:05,2021-06-20 11:53:31
284,hms_poldabanten,humaspolrestat1,116,2021-06-13 06:00:05,2021-06-20 11:53:31
285,hms_poldabanten,info_cilegon,116,2021-06-13 06:00:05,2021-06-20 11:53:31
286,hms_poldabanten,resserangkota,116,2021-06-13 06:00:05,2021-06-20 11:53:31
287,hms_poldabanten,divhumas_polri,116,2021-06-13 06:00:05,2021-06-20 11:53:31
288,hms_poldabanten,polres_cilegon,116,2021-06-13 06:00:05,2021-06-20 11:53:31
289,hms_poldabanten,lebak_polres,116,2021-06-13 06:00:05,2021-06-20 11:53:31
290,nkri_blessed,prfmnews,117,2021-06-13 06:19:56,2021-06-20 11:53:31
291,kemenkesri,kemenkesri,118,2021-06-13 06:23:23,2021-06-20 11:53:31
292,metrobali,metrobali,119,2021-06-13 06:34:57,2021-06-20 11:53:31
293,rtm_malaysia,jkjavmy,120,2021-06-13 06:45:00,2021-06-20 11:53:31
294,gerbangnkri,jokowi,121,2021-06-13 06:45:14,2021-06-20 11:53:31
295,bmpower81,khairykj,122,2021-06-13 06:47:59,2021-06-20 11:53:31
296,_mediasiber,kabarterkini,123,2021-06-13 06:53:37,2021-06-20 11:53:31
297,_mediasiber,divhumas_polri,123,2021-06-13 06:53:37,2021-06-20 11:53:31
298,koolfmmy,kkmputrajaya,124,2021-06-13 06:58:03,2021-06-20 11:53:31
299,koolfmmy,jkjavmy,124,2021-06-13 06:58:03,2021-06-20 11:53:31
300,_mediasiber,kabarterkini,125,2021-06-13 07:16:25,2021-06-20 11:53:31
301,cookiespopsicle,sehatsurabayaku,126,2021-06-13 07:27:18,2021-06-20 11:53:31
302,brioagya,kompastv,127,2021-06-13 07:29:07,2021-06-20 11:53:31
303,s_zarya,blogdokter,128,2021-06-13 07:30:40,2021-06-20 11:53:31
304,kabar_tangsel,kabar_tangsel,129,2021-06-13 07:35:01,2021-06-20 11:53:31
305,rajalubis_,komunitasisb,130,2021-06-13 07:48:15,2021-06-20 11:53:31
306,rajalubis_,nchiehanie1,130,2021-06-13 07:48:15,2021-06-20 11:53:31
307,uahasran,ukm_my,131,2021-06-13 08:00:02,2021-06-20 11:53:31
308,uahasran,501awani,131,2021-06-13 08:00:02,2021-06-20 11:53:31
309,jkjavmy,buletintv3,132,2021-06-13 08:31:45,2021-06-20 11:53:31
310,mysrtmz,khairykj,133,2021-06-13 08:40:55,2021-06-20 11:53:31
311,orieks3677,humasjabar,134,2021-06-13 08:57:14,2021-06-20 11:53:31
312,orieks3677,kominfocianjur,134,2021-06-13 08:57:14,2021-06-20 11:53:31
313,orieks3677,humaspolrescjr,134,2021-06-13 08:57:14,2021-06-20 11:53:31
314,orieks3677,pemkabcjr,134,2021-06-13 08:57:14,2021-06-20 11:53:31
315,orieks3677,cianjurhumas,134,2021-06-13 08:57:14,2021-06-20 11:53:31
